"Rank","Name","Platform","Year","Publisher","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
2529,"Total War: Warhammer II","PC",2017,"Sega","Strategy",NA,NA,NA,NA,NA
2530,"Football Manager 2018","PC",2017,"Sega","Simulation",NA,NA,NA,NA,NA
2694,"Injustice 2","XOne",2017,"Warner Bros. Interactive Entertainment","Fighting",0.65,0.16,NA,0.09,0.89
2719,"Fortnite","PS4",2017,"Gearbox Software","Action",0.42,0.32,NA,0.15,0.89
2763,"Super Bomberman R","NS",2017,"Konami Digital Entertainment","Puzzle",0.31,0.32,0.19,0.06,0.87
2785,"For Honor","XOne",2017,"Ubisoft","Action",0.57,0.21,NA,0.08,0.87
2868,"Dead Cells","PC",2017,"Motion Twin","Action",NA,NA,NA,NA,NA
2927,"theHunter: Call of the Wild","PC",2017,"Maximum Games","Shooter",NA,NA,NA,NA,NA
3053,"F1 2016","PS4",2017,"Codemasters","Racing",0.07,0.56,0.03,0.11,0.78
3060,"Mass Effect: Andromeda","XOne",2017,"Electronic Arts","Role-Playing",0.5,0.2,NA,0.07,0.78
3061,"Hitman","PS4",2017,"Square Enix","Action",0.24,0.36,0.06,0.11,0.78
3086,"Fortnite","XOne",2017,"Gearbox Software","Action",0.6,0.09,NA,0.08,0.77
3129,"Just Dance 2018","NS",2017,"Ubisoft","Music",0.3,0.4,NA,0.06,0.76
3151,"LEGO City Undercover","PS4",2017,"Warner Bros. Interactive Entertainment","Platform",0.17,0.46,0.01,0.12,0.75
3156,"Pro Evolution Soccer 2018","PS4",2017,"Konami Digital Entertainment","Sports",0.12,0.36,0.19,0.09,0.75
3157,"Fire Emblem Echoes: Shadows of Valentia","3DS",2017,"Nintendo","Role-Playing",0.34,0.16,0.21,0.05,0.75
3216,"Sonic Forces","NS",2017,"Sega","Platform",0.39,0.27,0.01,0.06,0.74
3233,"The Sims 4","XOne",2017,"Electronic Arts","Simulation",0.42,0.24,NA,0.07,0.73
3239,"Need for Speed: Payback","XOne",2017,"Electronic Arts","Racing",0.42,0.24,NA,0.07,0.73
3265,"WipEout Omega Collection","PS4",2017,"Sony Interactive Entertainment","Racing",0.12,0.49,NA,0.11,0.72
3344,"Prey (2017)","PC",2017,"Bethesda Softworks","Shooter",NA,NA,NA,NA,NA
3374,"Marvel vs. Capcom: Infinite","PS4",2017,"Capcom","Fighting",0.36,0.19,0.04,0.11,0.7
3377,"Wolfenstein II: The New Colossus","XOne",2017,"Bethesda Softworks","Shooter",0.45,0.19,NA,0.07,0.7
3386,"Monster Hunter Stories","3DS",2017,"Capcom","Role-Playing",0.14,0.15,0.39,0.03,0.7
3426,"Mario Party: The Top 100","3DS",2017,"Nintendo","Misc",0.23,0.17,0.24,0.04,0.69
3427,"Rayman Legends","NS",2017,"Ubisoft","Platform",0.23,0.4,NA,0.05,0.69
3428,"LEGO Worlds","XOne",2017,"Warner Bros. Interactive Entertainment","Misc",0.28,0.35,NA,0.05,0.69
3488,"Resident Evil VII: Biohazard","PC",2017,"Capcom","Action",NA,NA,NA,NA,NA
3494,"LEGO Marvel Super Heroes 2","NS",2017,"Warner Bros. Interactive Entertainment","Action",0.31,0.29,0.01,0.06,0.67
3522,"WWE 2K18","XOne",2017,"2K Sports","Sports",0.35,0.25,NA,0.06,0.66
3601,"Tales of Berseria","PS4",2017,"Namco Bandai Games","Role-Playing",0.22,0.1,0.26,0.07,0.65
3604,"Yakuza Zero","PS4",2017,"Sega","Adventure",0.22,0.16,0.19,0.08,0.65
3607,"LEGO City Undercover","NS",2017,"Warner Bros. Interactive Entertainment","Platform",0.23,0.33,0.03,0.05,0.65
3738,"South Park: The Fractured But Whole","XOne",2017,"Ubisoft","Role-Playing",0.4,0.17,NA,0.06,0.62
3742,"F1 2017","PS4",2017,"Deep Silver","Racing",0.04,0.47,0.02,0.09,0.62
3789,"Knowledge is Power","PS4",2017,"Sony Interactive Entertainment","Party",0.05,0.47,NA,0.09,0.61
3836,"L.A. Noire","PS4",2017,"Rockstar Games","Adventure",0.18,0.32,NA,0.1,0.6
3930,"Hidden Agenda","PS4",2017,"Sony Interactive Entertainment","Adventure",0.08,0.42,NA,0.09,0.59
3946,"Call of Duty: Modern Warfare Remastered","PS4",2017,"Activision","Shooter",0.17,0.3,0.03,0.09,0.58
3952,"LEGO Worlds","NS",2017,"Warner Bros. Interactive Entertainment","Misc",0.21,0.33,0,0.04,0.58
3958,"Tekken 7","XOne",2017,"Namco Bandai Games","Fighting",0.3,0.23,NA,0.05,0.58
4022,"The Lego Ninjago Movie Videogame","PS4",2017,"Warner Bros. Interactive Entertainment","Action",0.16,0.32,NA,0.09,0.57
4033,"LEGO Marvel Super Heroes 2","XOne",2017,"Warner Bros. Interactive Entertainment","Action",0.32,0.2,NA,0.05,0.57
4035,"Ultra Street Fighter II: The Final Challengers","NS",2017,"Capcom","Fighting",0.22,0.22,0.09,0.04,0.57
4086,"NHL 18","PS4",2017,"EA Sports","Sports",0.31,0.16,NA,0.1,0.57
4087,"NEKOPARA Vol. 0","PC",2017,"Unknown","Visual Novel",NA,NA,NA,NA,NA
4092,"Everybody's Golf","PS4",2017,"Sony Interactive Entertainment","Sports",0.12,0.22,0.17,0.06,0.56
4127,"Metroid: Samus Returns","3DS",2017,"Nintendo","Action-Adventure",0.3,0.15,0.07,0.05,0.56
4146,"DOOM VFR","PS4",2017,"Bethesda Softworks","Shooter",0.22,0.25,NA,0.09,0.56
4163,"Sonic Forces","PS4",2017,"Sega","Platform",0.15,0.31,0.01,0.09,0.56
4164,"Viscera Cleanup Detail: Santa's Rampage","PC",2017,"Unknown","Adventure",NA,NA,NA,NA,NA
4178,"Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy","3DS",2017,"Level 5","Puzzle",0.12,0.25,0.15,0.03,0.55
4185,"Poochy & Yoshi's Woolly World","3DS",2017,"Nintendo","Platform",0.2,0.16,0.17,0.03,0.55
4194,"Puyo Puyo Tetris","NS",2017,"Sega","Puzzle",0.22,0.18,0.12,0.04,0.55
4196,"Sniper Elite 4","PS4",2017,"Rebellion Developments","Shooter",0.21,0.25,NA,0.09,0.55
4201,"Dragon Ball: Xenoverse 2","NS",2017,"Namco Bandai Games","Action",0.17,0.16,0.19,0.03,0.55
4215,"Wolfenstein II: The New Colossus","PC",2017,"Bethesda Softworks","Shooter",NA,NA,NA,NA,NA
4237,"Project CARS 2","PS4",2017,"Namco Bandai Games","Racing",0.1,0.35,0.02,0.08,0.55
4271,"FIFA 18","PS3",2017,"EA Sports","Sports",0.06,0.4,0.01,0.08,0.54
4295,"NBA 2K18","PC",2017,"2K Sports","Sports",NA,NA,NA,NA,NA
4296,"Golf It!","PC",2017,"Unknown","Sports",NA,NA,NA,NA,NA
4467,"Halo Wars 2","XOne",2017,"Microsoft Studios","Strategy",0.31,0.15,NA,0.05,0.51
4497,"Mario & Luigi Superstar Saga + Bowser's Minions","3DS",2017,"Nintendo","Role-Playing",0.2,0.2,0.08,0.04,0.51
4506,"Yokai Watch Busters 2: Hihou Densetsu Banbarayaa - Magnum / Sword","3DS",2017,"Level 5","Role-Playing",NA,NA,0.51,NA,0.51
4521,"Fire Emblem Warriors","NS",2017,"Nintendo","Action",0.22,0.14,0.1,0.04,0.51
4544,"Attack on Titan","PS4",2017,"Tecmo Koei","Action",0.08,0.24,0.12,0.06,0.5
4626,"Story of Seasons: Trio of Towns","3DS",2017,"Marvelous Interactive","Simulation",0.19,0.06,0.22,0.03,0.49
4627,"Nuclear Throne","PC",2017,"Unknown","Shooter",NA,NA,NA,NA,NA
4653,"The Escapists 2","PC",2017,"Team17 Software","Action",NA,NA,NA,NA,NA
4678,"DiRT 4","PS4",2017,"Deep Silver","Racing",0.1,0.3,0.02,0.07,0.49
4700,"Farpoint","PS4",2017,"Sony Interactive Entertainment","Shooter",NA,0.38,0.04,0.06,0.48
4735,"Friday the 13th: The Game","PS4",2017,"Gun Media","Action",0.29,0.09,0.03,0.08,0.48
4820,"Dragon Quest Heroes II: Twin Kings and the Prophecy's End","PS4",2017,"Square Enix","Action",0.05,0.09,0.3,0.03,0.47
4831,"Life Is Strange: Before the Storm","PC",2017,"Square Enix","Adventure",NA,NA,NA,NA,NA
4834,"Knack 2","PS4",2017,"Sony Interactive Entertainment","Platform",0.14,0.25,0.01,0.07,0.47
4844,"Sonic Mania","NS",2017,"Sega","Platform",0.23,0.18,0.01,0.04,0.47
4886,"Mario Sports Superstars","3DS",2017,"Nintendo","Sports",0.18,0.12,0.13,0.03,0.46
4896,"Minecraft: Story Mode - The Complete Adventure","NS",2017,"Telltale Games","Adventure",0.27,0.15,NA,0.04,0.46
4986,"L.A. Noire","NS",2017,"Rockstar Games","Adventure",0.21,0.21,NA,0.04,0.45
4988,"Yakuza Kiwami","PS4",2017,"Sega","Adventure",0.13,0.07,0.21,0.04,0.45
4999,"Style Savvy: Styling Star","3DS",2017,"Nintendo","Simulation",NA,0.29,0.14,0.02,0.45
5008,"Prey (2017)","XOne",2017,"Bethesda Softworks","Shooter",0.21,0.2,NA,0.04,0.45
5081,"Hey! Pikmin","3DS",2017,"Nintendo","Platform",0.17,0.08,0.17,0.03,0.44
5208,"NBA 2K18","NS",2017,"2K Sports","Sports",0.3,0.06,0.03,0.04,0.43
5210,"Doom (2016)","NS",2017,"Bethesda Softworks","Shooter",0.24,0.15,0.01,0.04,0.43
5234,"Bayonetta","PC",2017,"Sega","Action",NA,NA,NA,NA,NA
