"Rank","Name","Platform","Year","Publisher","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
9647,"Final Fantasy XIV: Stormblood","PS4",2017,"Square Enix","MMO",0.05,0.06,0.04,0.02,0.17
9666,"Just Dance 2018","WiiU",2017,"Ubisoft","Music",0.07,0.09,NA,0.01,0.17
9693,"Sonic Mania","PC",2017,"Sega","Platform",NA,NA,NA,NA,NA
9709,"MXGP 3: The Official Motocross Videogame","PS4",2017,"Milestone","Racing",0.06,0.08,NA,0.03,0.17
9746,"Dishonored: Death of the Outsider","PC",2017,"Bethesda Softworks","Action",NA,NA,NA,NA,NA
9747,"Tribal Pass","PC",2017,"Unknown","Action",NA,NA,NA,NA,NA
9752,"Axiom Verge","NS",2017,"Thomas Happ Games","Action",0.12,0.03,NA,0.02,0.17
9820,"Ride 2","PS4",2017,"Milestone S.r.l","Racing",0.07,0.06,0.01,0.03,0.16
9839,"Dead Rising 4: Frank's Big Package","PS4",2017,"Capcom","Action-Adventure",0.08,0.05,NA,0.03,0.16
9876,"Okami HD","PC",2017,"Capcom","Adventure",NA,NA,NA,NA,NA
9907,"Little Nightmares","XOne",2017,"Namco Bandai Games","Platform",0.12,0.03,NA,0.02,0.16
9908,"The Surge","PC",2017,"Focus Home Interactive","Action",NA,NA,NA,NA,NA
9918,"Naruto Shippuden: Ultimate Ninja Storm Legacy","PS4",2017,"Namco Bandai Games","Fighting",0.07,0.04,0.03,0.02,0.16
9924,"Berserk and the Band of the Hawk","PS4",2017,"Tecmo Koei","Action",0.07,0.02,0.05,0.02,0.16
10005,"Pillars of Eternity","PS4",2017,"Paradox Interactive","Role-Playing",0.11,0.02,NA,0.03,0.16
10016,"SUPERHOT VR","PC",2017,"SUPERHOT Team","Shooter",NA,NA,NA,NA,NA
10032,"Valkyria Revolution","PS4",2017,"Sega","Role-Playing",0.04,0.03,0.07,0.02,0.16
10124,"Destiny 2","PC",2017,"Activision","Shooter",0.09,0.05,NA,0.01,0.16
10199,"Cave Story+","NS",2017,"Nicalis","Platform",0.11,0.03,0.01,0.01,0.15
10221,"Fire Emblem Warriors","3DS",2017,"Nintendo","Action",0.07,0.03,0.04,0.01,0.15
10257,"Bus Simulator 16","PC",2017,"Astragon","Simulation",NA,NA,NA,NA,NA
10277,"Toukiden 2","PSV",2017,"Tecmo Koei","Action",0.02,0,0.13,0.01,0.15
10339,"RiME","NS",2017,"Grey Box","Adventure",0.11,0.03,NA,0.01,0.15
10345,"The Escapists 2","XOne",2017,"Sold Out","Action",0.05,0.08,NA,0.01,0.15
10371,"Fate/Extella: The Umbral Star","PSV",2017,"Xseed Games","Action",0.03,0,0.1,0.01,0.15
10383,"Attack on Titan","PSV",2017,"Tecmo Koei","Action",NA,NA,0.15,NA,0.15
10389,"Spintires: MudRunner","XOne",2017,"Focus Home Interactive","Simulation",0.11,0.02,NA,0.01,0.15
10416,"Gear.Club Unlimited","NS",2017,"Microids","Racing",0.1,0.03,0.01,0.01,0.15
10419,"Toukiden 2","PS4",2017,"Tecmo Koei","Action",0.04,NA,0.1,0.01,0.15
10461,"Battle Chasers: Nightwar","PC",2017,"THQ Nordic","Role-Playing",NA,NA,NA,NA,NA
10492,"Super Robot Wars V","PS4",2017,"Namco Bandai Games","Role-Playing",NA,NA,0.15,NA,0.15
10511,"Has-Been Heroes","NS",2017,"GameTrust","Action",0.13,NA,NA,0.02,0.14
10520,"Blue Reflection: Maboroshi ni Mau - Shoujo no Ken","PS4",2017,"Tecmo Koei","Role-Playing",0.07,NA,0.06,0.02,0.14
10521,"Urban Trial Freestyle","PC",2017,"Unknown","Platform",NA,NA,NA,NA,NA
10538,"Cyberdimension Neptunia: 4 Goddesses Online","PS4",2017,"Idea Factory International","Role-Playing",0.06,NA,0.07,0.01,0.14
10555,"Naruto Shippuden: Ultimate Ninja Storm Legacy","XOne",2017,"Namco Bandai Games","Fighting",0.11,0.02,NA,0.01,0.14
10562,"Vanquish","PC",2017,"Sega","Shooter",NA,NA,NA,NA,NA
10600,"Styx: Shards of Darkness","PC",2017,"Focus Home Interactive","Action",NA,NA,NA,NA,NA
10736,"Dishonored: Death of the Outsider","XOne",2017,"Bethesda Softworks","Action",0.07,0.06,NA,0.01,0.14
10756,"Ultimate Marvel vs. Capcom 3","XOne",2017,"Capcom","Fighting",0.12,NA,NA,0.01,0.14
10785,"Ys VIII: Lacrimosa of Dana","PSV",2017,"NIS America","Role-Playing",0.01,0.01,0.11,0.01,0.14
10810,"MotoGP 17","PS4",2017,"Koch Media","Racing",0.04,0.07,NA,0.02,0.14
10832,"The Elder Scrolls Online: Morrowind","XOne",2017,"Bethesda Softworks","MMO",0.09,0.03,NA,0.01,0.14
10919,"Fallout 4 VR","PC",2017,"Bethesda Softworks","Role-Playing",NA,NA,NA,NA,NA
10977,"Pro Baseball Famista Climax","3DS",2017,"Namco Bandai Games","Sports",NA,NA,0.13,NA,0.13
11019,"NASCAR Heat 2","PS4",2017,"704Games","Racing",0.11,NA,NA,0.02,0.13
11044,"Bulletstorm: Full Clip Edition","PS4",2017,"Gearbox Software","Shooter",0.05,0.06,NA,0.02,0.13
11103,"Golf Club 2","PS4",2017,"Maximum Games","Sports",0.05,0.06,NA,0.02,0.13
11140,"Dungeons 3","PC",2017,"Kalypso Media","Strategy",NA,NA,NA,NA,NA
11151,"Outlast Trinity","XOne",2017,"Warner Bros. Interactive Entertainment","Action",0.1,0.02,NA,0.01,0.13
11165,"Sonic Mania","XOne",2017,"Sega","Platform",0.09,0.03,NA,0.01,0.13
11175,"Mass Effect: Andromeda","PC",2017,"Electronic Arts","Role-Playing",0.04,0.08,NA,0.01,0.13
11185,"Utawarerumono: Mask of Truth","PS4",2017,"Atlus","Visual Novel",0.05,NA,0.07,0.01,0.13
11222,"The Legend of Heroes: Trails of Cold Steel III","PS4",2017,"Nihon Falcom Corporation","Role-Playing",NA,NA,0.13,NA,0.13
11229,"Utawarerumono: Mask of Deception","PS4",2017,"Atlus","Adventure",0.05,NA,0.07,0.01,0.13
11240,"Farming Simulator 17","NS",2017,"Focus Home Interactive","Simulation",0.04,0.08,NA,0.01,0.13
11271,"Farming Simulator 18","3DS",2017,"Focus Home Interactive","Simulation",0.06,0.06,NA,0.01,0.12
11348,"Super Robot Wars V","PSV",2017,"Namco Bandai Games","Role-Playing",NA,NA,0.12,NA,0.12
11367,"Job Simulator","PS4",2017,"Sony Interactive Entertainment","Simulation",0.1,NA,NA,0.02,0.12
11373,"Dead by Daylight","XOne",2017,"505 Games","Action",0.08,0.03,NA,0.01,0.12
11376,"Portal Knights","PS4",2017,"505 Games","Role-Playing",0.02,0.05,0.03,0.01,0.12
11390,"Batman: A Telltale Game Series","NS",2017,"Telltale Games","Adventure",0.09,0.02,NA,0.01,0.12
11392,"The Walking Dead - The Telltale Series: A New Frontier","XOne",2017,"Warner Bros. Interactive Entertainment","Adventure",0.1,0.01,NA,0.01,0.12
11394,"Snipperclips Plus: Cut It Out, Together!","NS",2017,"Nintendo","Puzzle",NA,0.02,0.1,0,0.12
11396,"NASCAR Heat 2","XOne",2017,"704Games","Racing",0.11,NA,NA,0.01,0.12
11418,"Sumikko Gurashi: Koko, Dokonan Desu?","3DS",2017,"Nippon Columbia","Puzzle",NA,NA,0.12,NA,0.12
11438,"The Great Ace Attorney 2 - The Resolve of Ryuunosuke Naruhodou","3DS",2017,"Capcom","Adventure",NA,NA,0.12,NA,0.12
11456,"Wolfenstein The Two Pack","XOne",2017,"Bethesda Softworks","Shooter",0.11,NA,NA,0.01,0.12
11462,"The Surge","XOne",2017,"Focus Home Interactive","Action",0.07,0.04,NA,0.01,0.12
11463,"WRC: FIA World Rally Championship","X360",2017,"Unknown","Racing",0,0.1,0,0.01,0.12
11486,"Danganronpa 1-2 Reload","PS4",2017,"NIS America","Adventure",0.08,NA,0.02,0.02,0.12
11503,"Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto","XOne",2017,"Namco Bandai Games","Fighting",0.11,NA,NA,0.01,0.12
11532,"Pro Evolution Soccer 2018","XOne",2017,"Konami Digital Entertainment","Sports",0.06,0.05,NA,0.01,0.12
11557,"America's Greatest Game Shows: Wheel of Fortune & Jeopardy!","PS4",2017,"Ubisoft","Misc",0.1,NA,NA,0.02,0.12
11561,"Sudden Strike 4","PC",2017,"Kalypso Media","Strategy",NA,NA,NA,NA,NA
11566,"Marvel's Guardians of the Galaxy: The Telltale Series","PS4",2017,"Warner Bros. Interactive Entertainment","Adventure",0.06,0.04,NA,0.02,0.12
11595,"Heaven Forest NIGHTS","PC",2017,"Chubby Pixel","Action",NA,NA,NA,NA,NA
11642,"Brother Wings","PC",2017,"Brogames","Shooter",NA,NA,NA,NA,NA
11649,"Party Planet","NS",2017,"Mastiff","Misc",0.1,NA,NA,0.01,0.12
11663,"Late Shift","PC",2017,"Wales Interactive Ltd.","Adventure",NA,NA,NA,NA,NA
11671,"Sword Art Online: Hollow Realization","PC",2017,"Bandai Namco Entertainment","Role-Playing",NA,NA,NA,NA,NA
11694,"Starpoint Gemini Warlords","PC",2017,"Iceberg Interactive","Strategy",NA,NA,NA,NA,NA
11706,"Constructor HD","PS4",2017,"Deep Silver","Strategy",0.09,NA,NA,0.02,0.11
11731,"Minecraft: Story Mode - Season Two","PS4",2017,"Telltale Games","Adventure",0.09,NA,0,0.02,0.11
11732,"20XX","PC",2017,"Batterystaple Games","Platform",NA,NA,NA,NA,NA
11754,"Utawarerumono: Mask of Deception","PSV",2017,"Atlus","Adventure",0.02,NA,0.08,0.01,0.11
11781,"The Invisible Hours","PS4",2017,"GameTrust","Adventure",0.09,NA,NA,0.02,0.11
11915,"Planescape Torment: Enhanced Edition","PC",2017,"Beamdog","Role-Playing",NA,NA,NA,NA,NA
11919,"RiME","PS4",2017,"Grey Box","Adventure",0.02,0.07,NA,0.02,0.11
11925,"Agents of Mayhem","XOne",2017,"Deep Silver","Action",0.07,0.03,NA,0.01,0.11
11960,"NBA 2K18","X360",2017,"2K Sports","Sports",0.09,0,NA,0.01,0.11
12037,"Cook, Serve, Delicious! 2!!","PC",2017,"Vertigo Gaming Inc.","Simulation",NA,NA,NA,NA,NA
12116,"SimAirport","PC",2017,"LVGameDev LLC","Simulation",NA,NA,NA,NA,NA
12152,"Alpacapaca Dash","PC",2017,"Synnergy Circle Games","Platform",NA,NA,NA,NA,NA
12172,"Troll and I","NS",2017,"Maximum Games","Action",0.05,0.04,NA,0.01,0.1
12176,"GRUZCHIK","PC",2017,"Unknown","Puzzle",NA,NA,NA,NA,NA
12189,"Pac-Man Championship Edition 2 + Arcade Game Series","PS4",2017,"Namco Bandai Games","Action",0.08,NA,NA,0.02,0.1
12230,"Tokyo Xanadu eX+","PS4",2017,"Aksys Games","Role-Playing",0.05,NA,0.05,0.01,0.1
12238,"Stardew Valley","PS4",2017,"505 Games","Simulation",0.04,0.04,NA,0.02,0.1
12242,"Everything","PC",2017,"Double Fine Presents","Simulation",NA,NA,NA,NA,NA
12261,"Orbt XL","PC",2017,"Nickervision Studios","Misc",NA,NA,NA,NA,NA
12312,"Warriors All-Stars","PS4",2017,"Tecmo Koei","Action",0.03,NA,0.06,0.01,0.1
12332,"Mega Man Legacy Collection 2","PS4",2017,"Capcom","Action",0.06,NA,0.02,0.01,0.1
12346,"Life Beetle","PC",2017,"Dagestan Technology","Action",NA,NA,NA,NA,NA
12360,"aMAZE","PC",2017,"Blender Games","Puzzle",NA,NA,NA,NA,NA
12389,"Final Fantasy XIV Online Complete Edition","PS4",2017,"Square Enix","MMO",0.07,NA,0.02,0.02,0.1
12392,"Puyo Puyo Tetris","PS4",2017,"Sega","Puzzle",0.05,0.03,NA,0.02,0.1
12398,"Space Pirates And Zombies 2","PC",2017,"MinMax Games Ltd.","Strategy",NA,NA,NA,NA,NA
12414,"Sudden Strike 4","PS4",2017,"Kalypso Media","Strategy",0.05,0.03,0.01,0.02,0.1
12425,"Rento Fortune - Online Dice Board Game","PC",2017,"LAN - GAMES EOOD","Misc",NA,NA,NA,NA,NA
12447,"Accel World vs. Sword Art Online: Millennium Twilight","PS4",2017,"Namco Bandai Games","Action",NA,0.03,0.06,0.01,0.1
12457,"Wolfenstein The Two Pack","PS4",2017,"Bethesda Softworks","Shooter",0.08,NA,NA,0.02,0.1
12483,"Guilty Gear Xrd REV 2","PS4",2017,"Aksys Games","Fighting",0.04,0.01,0.03,0.01,0.1
12501,"Sumikko Gurashi: Sumikko Park e Youkoso","NS",2017,"Nippon Columbia","Misc",NA,NA,0.1,NA,0.1
12512,"Just Dance 2018","X360",2017,"Ubisoft","Music",0.06,0.03,NA,0.01,0.1
12575,"Utawarerumono: Mask of Truth","PSV",2017,"Atlus","Visual Novel",0.01,NA,0.08,0,0.1
12630,"Yooka-Laylee","XOne",2017,"Sold Out","Platform",0.05,0.04,NA,0.01,0.1
12631,"Real Farm","XOne",2017,"Soedesco","Simulation",0.08,NA,NA,0.01,0.1
12645,"Nights of Azure 2","PS4",2017,"Tecmo Koei","Action",0.04,NA,0.04,0.01,0.09
12653,"Summon Night 6: Lost Borders","PSV",2017,"Gaijinworks","Role-Playing",0.02,NA,0.07,0.01,0.09
12717,"Taiko no Tatsujin: Drum Session!","PS4",2017,"Namco Bandai Games","Music",NA,NA,0.09,NA,0.09
12792,"Rugby League Live 4","PS4",2017,"Tru Blu Entertainment","Sports",NA,0.08,NA,0.01,0.09
12912,"Dragon Quest Heroes I & II for Nintendo Switch","NS",2017,"Square Enix","Role-Playing",NA,NA,0.09,NA,0.09
12932,"Summon Night 6: Lost Borders","PS4",2017,"Gaijinworks","Role-Playing",0.03,NA,0.05,0.01,0.09
12935,"Pro Evolution Soccer 2018","PS3",2017,"Konami Digital Entertainment","Sports",0.01,0.04,0.03,0.01,0.09
12939,"Dark Rose Valkyrie","PS4",2017,"Idea Factory International","Role-Playing",0.04,NA,0.04,0.01,0.09
12967,"ATV Drift & Tricks","PS4",2017,"Maximum Games","Racing",0.07,NA,NA,0.02,0.09
13028,"NBA 2K18","PS3",2017,"2K Sports","Sports",0.06,0.01,0.01,0.01,0.09
13049,"MXGP 3: The Official Motocross Videogame","XOne",2017,"Milestone","Racing",0.06,0.02,NA,0.01,0.09
13099,"MXGP 3: The Official Motocross Videogame","NS",2017,"Milestone S.r.l.","Racing",0.06,0.02,NA,0.01,0.08
13104,"FIFA 18","PC",2017,"EA Sports","Sports",NA,0.08,NA,0,0.08
13108,"America's Greatest Game Shows: Wheel of Fortune & Jeopardy!","XOne",2017,"Ubisoft","Misc",0.08,NA,NA,0.01,0.08
13161,"Ride 2","XOne",2017,"Milestone S.r.l","Racing",0.06,0.01,NA,0.01,0.08
13169,"Cartoon Network Battle Crashers","NS",2017,"GameMill","Action",0.04,0.04,NA,0.01,0.08
13178,"Elite: Dangerous","XOne",2017,"Frontier Developments","Simulation",0.07,NA,NA,0.01,0.08
13220,"Ben 10 (2017)","NS",2017,"Outright Games","Action",0.04,0.03,NA,0.01,0.08
13255,"Bulletstorm: Full Clip Edition","XOne",2017,"Gearbox Software","Shooter",0.06,0.01,NA,0.01,0.08
13272,"The Sexy Brutale","PS4",2017,"Badland Games","Adventure",0.05,0.02,NA,0.01,0.08
13273,"Zero: Tsukihami no Kamen","Wii",2017,"Unknown","Action",NA,NA,0.08,NA,0.08
13328,"R.B.I. Baseball 2017","NS",2017,"MLB.com","Sports",0.07,NA,NA,0.01,0.08
13330,"Micro Machines: World Series","XOne",2017,"Codemasters","Racing",0.02,0.05,NA,0.01,0.08
13362,"Rapala Fishing Pro Series","PS4",2017,"GameMill","Simulation",0.06,NA,NA,0.02,0.08
13374,"Minecraft: Story Mode - Season Two","X360",2017,"Telltale Games","Adventure",0.05,0.02,NA,0.01,0.08
13420,"Atelier Firis: The Alchemist and the Mysterious Journey","PS4",2017,"Tecmo Koei","Role-Playing",0.02,NA,0.05,0.01,0.08
13557,"Monster Jam: Crush It","NS",2017,"GameMill","Racing",0.04,0.03,NA,0.01,0.08
13571,"Akiba's Beat","PS4",2017,"Xseed Games","Action",0.05,NA,0.01,0.01,0.08
13580,"WRC 6","PS4",2017,"Namco Bandai Games","Racing",0.03,0.02,0.01,0.01,0.08
13614,"God Wars: Future Past","PS4",2017,"NIS America","Role-Playing",0.03,0.01,0.02,0.01,0.07
13628,"Culdcept Revolt","3DS",2017,"NIS America","Strategy",NA,NA,0.07,NA,0.07
13663,"Samurai Warriors: Spirit of Sanada","PS4",2017,"Tecmo Koei","Action",0.02,NA,0.05,0.01,0.07
13690,"Constructor HD","XOne",2017,"Deep Silver","Strategy",0.07,NA,NA,0.01,0.07
13693,"Attack on Titan","PS3",2017,"Tecmo Koei","Action",NA,NA,0.07,NA,0.07
13729,"Seiken Densetsu Collection","NS",2017,"Square Enix","Role-Playing",NA,NA,0.07,NA,0.07
13731,"Has-Been Heroes","PS4",2017,"GameTrust","Action",0.06,NA,NA,0.01,0.07
13743,"Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary","PS4",2017,"Square Enix","Misc",NA,NA,0.07,NA,0.07
13757,"Styx: Shards of Darkness","PS4",2017,"Focus Home Interactive","Action",0.06,NA,NA,0.01,0.07
13759,"Chaos;Child","PSV",2017,"PQube","Visual Novel",NA,0,0.07,0,0.07
13796,"The Walking Dead: A Telltale Series Collection","PS4",2017,"Warner Bros. Interactive Entertainment","Adventure",0.06,NA,NA,0.01,0.07
13806,"The Silver Case","PS4",2017,"NIS America","Visual Novel",0.05,NA,0.01,0.01,0.07
13830,"Poi","NS",2017,"Polykid","Platform",0.05,0.01,NA,0.01,0.07
13837,"The Caligula Effect","PSV",2017,"Atlus","Role-Playing",NA,NA,0.07,NA,0.07
13847,"Attack on Titan 2: Future Coordinates","3DS",2017,"Spike Chunsoft","Action",NA,NA,0.07,NA,0.07
13853,"One Piece: Unlimited World Red Deluxe Edition","NS",2017,"Namco Bandai Games","Action",NA,0.04,0.03,0,0.07
13873,"Disneyland Adventures","XOne",2017,"Microsoft Studios","Action-Adventure",0.05,0.01,NA,0.01,0.07
13877,"Hunting Simulator","PS4",2017,"Bigben Interactive","Shooter",0.06,NA,NA,0.01,0.07
13901,"WRC 7","PS4",2017,"Bigben Interactive","Racing",0.06,NA,NA,0.01,0.07
13910,"Just Dance 2018","PS3",2017,"Ubisoft","Music",0.02,0.03,NA,0.01,0.07
13916,"Cooking Mama: Sweet Shop","3DS",2017,"Rising Star Games","Simulation",0.03,NA,0.04,0,0.07
13941,"Le Tour de France 2017","PS4",2017,"Focus Home Interactive","Simulation",NA,0.06,NA,0.01,0.07
13943,"Middle-Earth: Shadow of War","PC",2017,"Warner Bros. Interactive Entertainment","Action",0.03,0.04,NA,0.01,0.07
13950,"City Shrouded in Shadow","PS4",2017,"Namco Bandai Games","Action-Adventure",NA,NA,0.07,NA,0.07
13968,"SG/ZH: School Girl/Zombie Hunter","PS4",2017,"Aksys Games","Action",0.04,NA,0.02,0.01,0.07
14015,"Accel World vs. Sword Art Online: Millennium Twilight","PSV",2017,"Namco Bandai Games","Action",NA,NA,0.07,NA,0.07
14024,"Bad Apple Wars","PSV",2017,"Aksys Games","Action",0.02,NA,0.04,0.01,0.07
14118,"Batman: The Enemy Within","PS4",2017,"Telltale Games","Adventure",0.05,NA,NA,0.01,0.07
14171,"RPG Maker: Fes","3DS",2017,"NIS America","Role-Playing",0.03,0,0.02,0,0.07
14175,"R.B.I. Baseball 2017","XOne",2017,"MLB.com","Sports",0.06,NA,NA,0.01,0.07
14191,"Mary Skelter: Nightmares","PSV",2017,"Idea Factory","Role-Playing",0.01,0,0.04,0.01,0.06
14225,"Aven Colony","XOne",2017,"Sold Out","Strategy",0.06,NA,NA,0.01,0.06
14237,"Nights of Azure 2: Bride of the New Moon","NS",2017,"Tecmo Koei","Action",0.02,0.02,0.01,0,0.06
14269,"Ittle Dew 2+","NS",2017,"Nicalis","Action",0.06,NA,NA,0.01,0.06
14281,"Birthdays the Beginning","PS4",2017,"NIS America","Misc",0.05,NA,0,0.01,0.06
14300,"Rugby 18","PS4",2017,"Koch Media","Sports",0.05,NA,NA,0.01,0.06
14301,"X-Plane 11","PC",2017,"Aerosoft","Simulation",NA,0.06,NA,0,0.06
14302,"MotoGP 17","XOne",2017,"Koch Media","Racing",0.04,0.02,NA,0.01,0.06
14323,"Touhou Kobuto V: Burst Battle","NS",2017,"NIS America","Shooter",0.04,0.02,NA,0.01,0.06
14354,"Stern Pinball Arcade","NS",2017,"Alliance Digital Media","Misc",0.05,0.01,NA,0.01,0.06
14383,"Final Fantasy XIV: Stormblood","PC",2017,"Square Enix","MMO",0.04,0.02,NA,0.01,0.06
14400,"MX vs ATV Supercross Encore 2017 Track Edition","XOne",2017,"THQ Nordic","Racing",0.05,NA,NA,0.01,0.06
14453,"MX vs ATV Supercross Encore 2017 Track Edition","PS4",2017,"THQ Nordic","Racing",0.05,NA,NA,0.01,0.06
14460,"Deformers","PS4",2017,"Ready at Dawn","Action",0.05,NA,NA,0.01,0.06
14506,"Killing Floor 2","XOne",2017,"Tripwire Interactive","Shooter",0.05,NA,NA,0.01,0.06
14533,"Dragon Quest X: All in One Package","PS4",2017,"Square Enix","Role-Playing",NA,NA,0.06,NA,0.06
14551,"Dungeon Travelers 2-2: The Maiden Who Fell into Darkness and the Book of Beginnings","PSV",2017,"Aquaplus","Role-Playing",NA,NA,0.06,NA,0.06
14567,"Yomawari: Midnight Shadows","PS4",2017,"NIS America","Action",0.02,NA,0.04,0,0.06
14575,"Okami HD","XOne",2017,"Capcom","Action",0.05,NA,NA,0.01,0.06
14608,"Azure Striker Gunvolt: Striker Pack","NS",2017,"Nighthawk Interactive","Action",0.03,0.01,0.01,0,0.06
14614,"Outcast: Second Contact","PS4",2017,"Maximum Games","Adventure",0.05,NA,NA,0.01,0.06
14637,"Rapala Fishing Pro Series","XOne",2017,"GameMill","Simulation",0.05,NA,NA,0.01,0.06
14672,"Golf Club 2","XOne",2017,"Maximum Games","Sports",0.05,NA,NA,0.01,0.06
14696,"Etrian Mystery Dungeon 2","3DS",2017,"Atlus","Role-Playing",NA,NA,0.06,NA,0.06
14723,"Sine Mora EX","PS4",2017,"THQ Nordic","Action",0.03,0.01,NA,0.01,0.06
14749,"Aven Colony","PS4",2017,"Sold Out","Strategy",0.04,0.01,NA,0.01,0.06
14754,"Battle Chasers: Nightwar","PS4",2017,"THQ Nordic","Role-Playing",0.03,0.02,NA,0.01,0.06
14789,"The End is Nigh","NS",2017,"Nicalis","Platform",0.05,NA,NA,0.01,0.06
14791,"Hunting Simulator","XOne",2017,"Bigben Interactive","Shooter",0.05,NA,NA,0.01,0.06
14804,"Tiny Barbarian DX","NS",2017,"Nicalis","Action",0.05,NA,NA,0.01,0.06
14808,"Styx: Shards of Darkness","XOne",2017,"Focus Home Interactive","Action",0.05,NA,NA,0.01,0.06
14852,"Marvel's Guardians of the Galaxy: The Telltale Series","XOne",2017,"Warner Bros. Interactive Entertainment","Adventure",0.05,NA,NA,0.01,0.05
14885,"Valkyria Revolution","PSV",2017,"Sega","Role-Playing",NA,NA,0.05,NA,0.05
14895,"Baja: Edge of Control HD","XOne",2017,"THQ Nordic","Racing",0.05,NA,NA,0.01,0.05
14911,"Demon Gaze 2","PSV",2017,"NIS America","Role-Playing",0.01,0,0.04,0,0.05
14918,"Black Mirror","PS4",2017,"THQ Nordic","Adventure",0.04,NA,NA,0.01,0.05
14930,"Touhou Genso Wanderer","PS4",2017,"NIS America","Action",0.04,NA,NA,0.01,0.05
14969,"Period Cube ~Shackles of Amadeus~","PSV",2017,"Aksys Games","Simulation",0.02,NA,0.03,0.01,0.05
14978,"Hatsune Miku: Project Diva Future Tone DX","PS4",2017,"Sega","Misc",NA,NA,0.05,NA,0.05
14981,"Starblood Arena","PS4",2017,"Sony Interactive Entertainment","Shooter",0.04,NA,NA,0.01,0.05
14988,"Bubsy: The Woolies Strike Back","PS4",2017,"Accolade","Platform",0.04,NA,NA,0.01,0.05
15047,"New Tokyo Legacy: Operation Babel","PSV",2017,"NIS America","Role-Playing",0.01,0,0.04,0,0.05
15059,"Phantasy Star Online 2 Episode 4: Deluxe Package","PS4",2017,"Sega","Role-Playing",NA,NA,0.05,NA,0.05
15067,"Demon Gaze 2","PS4",2017,"NIS America","Role-Playing",0.04,NA,NA,0.01,0.05
15077,"Collar x Malice","PSV",2017,"Aksys Games","Action",0.01,NA,0.03,0.01,0.05
15082,"The Elder Scrolls Online: Morrowind","PC",2017,"Bethesda Softworks","MMO",0.02,0.03,NA,0,0.05
15110,"Real Farm","PS4",2017,"Soedesco","Simulation",0.04,NA,NA,0.01,0.05
15124,"The Walking Dead: A Telltale Series Collection","XOne",2017,"Warner Bros. Interactive Entertainment","Adventure",0.05,NA,NA,0.01,0.05
15173,"Rugby 18","XOne",2017,"Koch Media","Sports",0.04,NA,NA,0.01,0.05
15175,"Has-Been Heroes","XOne",2017,"GameTrust","Action",0.04,NA,NA,0.01,0.05
15180,"Deformers","XOne",2017,"Ready at Dawn","Action",0.04,NA,NA,0.01,0.05
15182,"Star Wars Battlefront II (2017)","PC",2017,"Electronic Arts","Shooter",0.02,0.02,NA,0,0.05
15242,"Cars 3: Driven to Win","XOne",2017,"Warner Bros. Interactive Entertainment","Racing",0.04,NA,NA,0.01,0.05
15247,"I am Setsuna","NS",2017,"Square Enix","Role-Playing",NA,NA,0.05,NA,0.05
15300,"Atelier Shallie Plus: Alchemists of the Dusk Sea","PSV",2017,"Tecmo Koei","Role-Playing",NA,0,0.05,0,0.05
15320,"Pillars of Eternity","XOne",2017,"Paradox Interactive","Role-Playing",0.04,NA,NA,0.01,0.05
15321,"Wonder Boy: The Dragon's Trap (Remake)","NS",2017,"DotEmu","Platform",0.04,NA,NA,0.01,0.05
15359,"Batman: The Enemy Within","XOne",2017,"Telltale Games","Adventure",0.04,NA,NA,0.01,0.05
15360,"Monster Jam: Crush It","PS4",2017,"GameMill","Racing",0.04,NA,NA,0.01,0.05
15362,"Cooking Mama: Sweet Shop","3DS",2017,"Rising Star Games","Simulation",NA,0.04,NA,0,0.05
15364,"WRC 7","XOne",2017,"Bigben Interactive","Racing",0.04,NA,NA,0.01,0.05
15414,"Ashes Cricket","XOne",2017,"Koch Media","Sports",NA,0.04,NA,0,0.05
15487,"Ben 10 (2017)","PS4",2017,"Outright Games","Action",0.04,NA,NA,0.01,0.05
15504,"Warriors All-Stars","PSV",2017,"Tecmo Koei","Action",NA,NA,0.05,NA,0.05
15506,"God Wars: Future Past","PSV",2017,"NIS America","Role-Playing",0.01,0,0.03,0,0.05
15526,"Dead Alliance","PS4",2017,"Maximum Games","Shooter",0.04,NA,NA,0.01,0.04
15542,"Beyblade Burst: God","3DS",2017,"FuRyu Corporation","Role-Playing",NA,NA,0.04,NA,0.04
15552,"Deer Hunter Reloaded","PS4",2017,"GameMill Entertainment","Shooter",0.04,NA,NA,0.01,0.04
15559,"That's You!","PS4",2017,"Sony Interactive Entertainment","Party",0.04,NA,NA,0.01,0.04
15565,"Road Rage","XOne",2017,"Maximum Games","Racing",0.04,NA,NA,0,0.04
15566,"Raid: World War II","PS4",2017,"505 Games","Shooter",0.04,NA,NA,0.01,0.04
15576,"Zero Escape The Nonary Games","PS4",2017,"Aksys Games","Adventure",0.03,NA,0.01,0.01,0.04
15604,"Vikings: Wolves of Midgard","PS4",2017,"Kalypso Media","Action",0.03,0.01,NA,0.01,0.04
15607,"For Honor","PC",2017,"Ubisoft","Action",0.02,0.02,NA,0,0.04
15621,"INSIDE / LIMBO Double Pack","PS4",2017,"505 Games","Platform",0.04,NA,NA,0.01,0.04
15642,"Uta no Prince-Sama: Repeat Love","PSV",2017,"Broccoli","Adventure",NA,NA,0.04,NA,0.04
